codigo,codbarras,descrip1art
5600360014096,5600360014096,CLAVOXILIN 600/5ML X100ML
NULL,56658,VITAMINA C 500MG XBLIS 10TAB MAST LETISA
NULL,5802,ADRENALINA AMP 1 MG BIOSANO
5803,5803,DIPIRONA AMP 1GR 2ML  X 1
5941230143257,5941230143257,SOLUCION FISIOLOGICA 0.09%X500ML BIOMEDI
NULL,600,EMPAGLIFLOZINA10 MG X10 TABL KWALITY
612197755559,612197755559,GLUTAPAK
617748376283,617748376283,CRANBERRY Y VITAMINA C 30CAP LAB VAL
62458,62458,SULFADIAZINA DE PLATA CREMA 30G KWALITY
632627843373,632627843373,MUPIROCINA 2% UNG 15G H
632627843397,632627843397,CLOBETASOL UNGUENTO 15 GR H
632627843410,632627843410,ESPIRONOLACTONA 25MG X 10
632627843427,632627843427,ONDASETRON 4MG X 10 H
632627843496,632627843496,clotrimazol crema vaginal 40 gr hym
632627843519,632627843519,DICLOFENAC POTASICO 180MG/ML SUSP ORAL
632627843540,632627843540,NIFEDIPINA 30MG X30 LP H.M
632627843557,632627843557,NITAZOXANIDA 100MG/5ML 60ML
632627843564,632627843564,TERBINAFINA CREMA X20GR HM
632627843571,632627843571,RANITIDINA 300MG X 10 TAB H
632627843588,632627843588,RANITIDINA 150MG/10ML JAB H.M
632627843595,632627843595,SUCRALFATO 1G/5ML  150 ML H
NULL,6381,KETOPROFENO AMP 100MG/2ML I.V/I.M. TIARE
646824222015,646824222015,OMEGA 3 X10 CAP 1000MG NATURAL SYSTEMS
652931974181,652931974181,AMPICILINA SULBACTAM 1.5 GR AMP I.V/I.M
652931974266,652931974266,PENICILINA BENZA 1200000 UI X 1 BG
NULL,652931974297,PENICILINA 6-3-3
NULL,652931975768,OMEPRAZOL 40MG IV AMP
NULL,6566987892996,ROWATINEX 50MG X 20 CAP ROWA
669238000178,669238000178,CALCIUM MAG & ZINC TAB X 30 VAL NAT
669238000499,669238000499,OMEGA 3 CAPB 1000       MG X30 VAL NAT
675696259966,675696259966,ATENOLOL 50      MG X 30 TAB
NULL,675696259973,AZITROMICINA TABR 500 MG X 5
NULL,675696259997,CEFADROXILO 500MG CAPS X 10
NULL,675696260009,CETIRIZINA 10 MG X10 TABL BUKA
NULL,675696260023,CLOPIDOGREL 75 MG X30 TAB BUKA
675696260030,675696260030,DICLOFENAC POT TAB 50      MG X 10
675696260054,675696260054,LORATADINA 5MG X60ML BUKA
675696260061,675696260061,LOSARTAN TAB 50      MG X 30
675696260078,675696260078,OMEPRAZOL 20      MG X 14 CAPS
675696260085,675696260085,VALSARTAN 80MG X30 TABL BUKA
675696260139,675696260139,ATORVASTATINA 20MG X 30 TAB BUKA
675696260146,675696260146,ATORVASTATINA 40 MG X 30 TAB BUKA
675696260160,675696260160,HIDROCLOROTIAZIDA 12.5X 30 TAB BUKA
NULL,675696260207,GLIBENCAMI+METFORMI 500/5MGX30 TAB BUKA
NULL,675696260214,LOSARTAN POTASICO 100MG X 30 TAB
NULL,675696260597,AMOXICILINA+ACIDO CLAV400MG/5ML SUSP BUK
