codigo,codbarras,descrip1art
NULL,7591243856705,YONAL JBE X 120 ML AREX
NULL,7591309000608,WAMPOLE EMUL NARANJA X 240 ML
NULL,7591309000714,VITENOL CREM X 15 GR
NULL,7591309002183,OVERSKIN 13% CREMA PAÑALITIS
NULL,7591309010409,DENCORUB CREM X 40 GR
NULL,7591309010416,DENCORUB GEL X 40 GR
NULL,7591519000290,CAPTOPRIL 50 MG X 10 TAB
NULL,7591519000474,DOL TAB X 10 CALOX
NULL,7591519000573,FESTAL X 10 TAB (DETALLADO)
NULL,7591519000610,AMOXICILINA A/CLAVU 400MG-57MG/5ML CALOX
NULL,7591519001044,PREDNISONA TAB 50 MG X 10 CALOX
NULL,7591519001112,ACIDO FOLICO 10MG X 30TAB CALOX
NULL,7591519001174,CARVEDILOL 6.25 MG X 28 TAB CALOX
NULL,7591519001211,DIOSMINA 600MGX 28TAB CALOX
NULL,7591519001587,DOL TAB X 20 CALOX
NULL,7591519001617,METFORMINA 500MG X 28 TAB MOROCHA CALOX
NULL,7591519003734,METFORMINA TAB 850 MG X 28 CALOX
NULL,7591519005134,DOL PLUS TAB X 10
NULL,7591519005141,DOL PLUS TAB 650MG X 20
NULL,7591519006698,VALSARTAN HCT TABR 80/12,5 MG X14 C
NULL,7591519007053,CARVEDILOL TAB 12,5 MG X 14 CALOX
NULL,7591519007183,SERTRALINA TABR 50 MG X 10 CALOX
NULL,7591519007428,DOMPERIDONA TAB 10 MG X 15 CALOX
NULL,7591519008197,DEFLAZACORT TAB 6MG X 10 CALOX
NULL,7591519008210,DESLORATADINA TAB 5 MG X 10 CALOX
NULL,7591519008487,CALOXPIRINA TABE 81 MG X 30
NULL,7591519050806,PREDNISONA TAB 5 MG X 30 CALOX
NULL,7591519051285,CAPTOPRIL CALOX 25mg x 30 TAB
NULL,7591519317398,HEXOMEDINE 30g
NULL,7591519317411,LASIX (FUROSEMIDA) 20MG X 20 TAB MCK
NULL,7591519317428,FESTAL X10 CALOX
NULL,7591519317572,FESTAL GRAG X 25
NULL,7591519317619,LASIX (FUROSEMIDA) 40 MG X 12 COMP MCK
NULL,7591585110923,MONOSULPA SOL NSAL X 15ML
NULL,7591585110930,NASIN SOL NSAL AD X 15 CC
NULL,7591585111005,VIASEK COMPDO 50 MG X 2
NULL,7591585111166,FLUVIRIN JBE 120 ML
NULL,7591585111661,CANFIR L.P 750 MG X 30 TAB METFORMINA
NULL,7591585112552,OXIDREN COMP 150MG X 1
NULL,7591585112620,CANFIR 500MG LP 30COMP
NULL,7591585113139,FULGRAM SUSP 600MG X 60ML
NULL,7591585113368,NEUROMIX 10 COMP
NULL,7591585113382,NEUROMIX SOL INY X 3 AMP
NULL,7591585114389,LISILETIC COMPDO 20MG/12,5MG X 30
NULL,7591585114884,LETISAN GTA PED X 20 CC
NULL,7591585115737,MIGREN 650mg X 10 COMP
NULL,7591585118431,TENSOMAX CAP 30 MG X 30
NULL,7591585118462,ZONTRICON COM 500MGX6
NULL,7591585119049,RIFAMIX COMR 200 MG X 12
NULL,7591585170361,DEXAMETASONA INY 4MG/2ML X 1
NULL,7591585174581,CETERIZINA 10MG X 10 COMP GENVEN
NULL,7591585174598,CETIRIZINA SOL PED 1M/ML X60ML GEN
NULL,7591585177353,LORATADINA COMPDO 10 MG X 10 GENVE
NULL,7591585213198,FULGRAM COMPR 875 MG/125 MG X 16
NULL,7591585213334,ASARAP 15 MG X 30 COMP LETI
NULL,7591585213341,ASARAP 20MG X 30 COMP
NULL,7591585214881,LETISAN SOL REFORM X 120 ML
NULL,7591585215901,DERAIN CREM X 15 GR
NULL,7591585216175,ALIVET GRANULADO LIMON X1 SOBRE
NULL,7591585216755,ALIVET JBE 125/0,5 MG X 120 ML GENV
NULL,7591585217165,BIOTALOL COMR 5 MG X 30
NULL,7591585217172,BIOTALOL -BISOPROLOL COMR 2,5 MG X 30
NULL,7591585217523,DIKLASON A.P. COM 100 MG X 20
NULL,7591585217660,BABILIN GOTA 100MG - 0.42MG X 20 ML LETI
NULL,7591585219299,DIKLASON GEL 50 GR
NULL,7591585272652,LERCANIDIPINA CLORHIDRATO 10 MGX30 TAB G
NULL,7591585277701,IBUPROFENO 100MG/5ML SUSP
NULL,7591585278166,AMLODIPINA COMPDO 5 MG X 30 GENVEN
